Timestamp,Open,OpenScaled,High,Low,Close,CloseScaled,Volume,EMA_20,EMA_40,EMA_200,RSI,MACD,Signal,PercentChange
2024-03-28,523.21,52321,524.61,522.78,523.07,52307,89828364,523.07,523.07,523.07,,0,0,-1
2024-03-27,521.71,52171,523.21,519.485,523.17,52317,82999777,523.0795238,523.074878,523.070995,,0.007977208,0.001595442,8
2024-03-26,521.23,52123,521.58,518.4,518.81,51881,65463744,522.6729025,522.8668352,523.0285971,,-0.333670019,-0.065457651,-2
2024-03-25,519.8,51980,520.95,519.61,519.77,51977,48512108,522.3964356,522.7157701,522.9961732,,-0.520958644,-0.156557849,-3
2024-03-22,522.11,52211,522.605,520.97,521.21,52121,79070842,522.2834417,522.6423179,522.9784003,,-0.5468861,-0.234623499,-2
2024-03-21,523.39,52339,524.11,521.91,522.2,52220,60256112,522.2754949,522.6207414,522.9706551,,-0.481992955,-0.284097391,3
2024-03-20,515.77,51577,520.62,515.08,520.48,52048,69594574,522.1044954,522.516315,522.9458724,,-0.562865928,-0.339851098,9
2024-03-19,512.15,51215,515.995,511.12,515.71,51571,60755263,521.4954958,522.1842996,522.8738737,,-1.000326337,-0.471946146,5
2024-03-18,514,51400,515.48,512.44,512.86,51286,88893331,520.6730676,521.7294557,522.7742332,,-1.559016671,-0.689360251,5
2024-03-15,510.21,51021,511.7,508.122,509.83,50983,107646297,519.6403945,521.1489945,522.6454348,,-2.220679849,-0.995624171,-10
2024-03-14,516.97,51697,517.125,511.82,514.95,51495,103493184,519.1936903,520.8466045,522.5688633,,-2.305336983,-1.257566733,-2
2024-03-13,517.11,51711,517.29,514.49,515.97,51597,54438487,518.8866722,520.6087214,522.503203,,-2.264024631,-1.458858313,-2
2024-03-12,513.45,51345,517.38,510.86,516.78,51678,70833119,518.6860367,520.4219545,522.4462557,,-2.141241167,-1.595334884,10
2024-03-11,510.48,51048,511.88,508.5,511.28,51128,61872913,517.9806999,519.9760055,522.3351487,31.95592287,-2.459388127,-1.768145532,-1
2024-03-08,515.46,51546,518.2201,511.13,511.72,51172,86532535,517.3844428,519.5732735,522.2295253,32.86016309,-2.645521636,-1.943620753,-7
2024-03-07,513.14,51314,515.89,509.8053,514.81,51481,58652085,517.1392577,519.3409187,522.1556992,38.42105263,-2.514708611,-2.057838325,9
2024-03-06,510.55,51055,512.069,508.42,509.75,50975,68382367,516.4355189,518.873069,522.0322594,37.69021739,-2.78720885,-2.20371243,5
2024-03-05,510.24,51024,510.7,504.91,507.18,50718,72855623,515.5540409,518.3026754,521.8844757,33.61103879,-3.173957369,-2.397761418,-10
2024-03-04,512.03,51203,514.2,512,512.3,51230,49799257,515.2441323,518.009862,521.7891078,39.41553813,-3.032361965,-2.524681527,-2
2024-03-01,508.98,50898,513.29,508.56,512.85,51285,76844844,515.0161197,517.7581614,521.7001615,38.7755102,-2.84299392,-2.588344006,9
2024-02-29,508.07,50807,509.74,505.35,508.08,50808,83924795,514.3555368,517.2860559,521.5646375,36.12975391,-3.042742672,-2.679223739,3
2024-02-28,505.33,50533,506.855,504.96,506.26,50626,56506634,513.5845333,516.7481996,521.4123525,38.68263473,-3.309751036,-2.805329198,-2
2024-02-27,506.7,50670,507.16,504.75,506.93,50693,48854528,512.9507682,516.269263,521.2682495,42.50694971,-3.42778037,-2.929819433,1
2024-02-26,508.3,50830,508.75,505.86,505.99,50599,50386738,512.2878379,515.7678355,521.1162271,44.87726788,-3.556176226,-3.055090791,-4
2024-02-23,509.27,50927,510.13,507.1,507.85,50785,61321818,511.8651867,515.3815996,520.9842249,39.62594974,-3.467868976,-3.137646428,0
2024-02-22,504.01,50401,508.49,503.02,507.5,50750,76402535,511.4494546,514.9971314,520.8500535,37.37704918,-3.387082738,-3.18753369,20
2024-02-21,495.42,49542,497.37,493.56,497.21,49721,59603771,510.0933161,514.1294664,520.6148291,27.26005113,-4.106044145,-3.371235781,0
2024-02-20,497.72,49772,498.41,494.45,496.76,49676,71736740,508.8234765,513.2821754,520.3774676,30.88467615,-4.658437906,-3.628676206,-6
2024-02-16,501.7,50170,502.87,498.75,499.51,49951,75532928,507.9364787,512.6103619,520.1698311,34.84735666,-4.81876421,-3.866693807,-5
2024-02-15,499.29,49929,502.2,498.795,502.01,50201,61682960,507.3720522,512.0932711,519.9891362,33.8790932,-4.690031095,-4.031361264,6
2024-02-14,496.79,49679,499.07,494.4,498.57,49857,68387827,506.5337615,511.4335994,519.7760105,35.32037815,-4.810140124,-4.187117036,9
